Total number of shapes is 1000 
Shapes are:
0: Circle, x = 105, y = 198, radius = 200, perimeter = 1256, color = GREEN
524: Triangle, x1 = 104, y1 = 138, x2 = 64, y2 = 6, x3 = 151, y3 = 85, perimeter = 326.281, color = VIOLET
525: Triangle, x1 = 15, y1 = 143, x2 = 57, y2 = 95, x3 = 160, y3 = 151, perimeter = 326.24, color = YELLOW
526: Rectangle, x_up_left = 67, y_up_left = 156, x_down_right = 100, y_down_right = 26, perimeter = 326, color = VIOLET
527: Rectangle, x_up_left = 154, y_up_left = 177, x_down_right = 177, y_down_right = 37, perimeter = 326, color = GREEN
528: Rectangle, x_up_left = 45, y_up_left = 148, x_down_right = 106, y_down_right = 46, perimeter = 326, color = ORANGE
529: Rectangle, x_up_left = 68, y_up_left = 168, x_down_right = 167, y_down_right = 104, perimeter = 326, color = VIOLET
530: Triangle, x1 = 123, y1 = 176, x2 = 117, y2 = 112, x3 = 30, y3 = 52, perimeter = 324.964, color = GREEN
531: Triangle, x1 = 153, y1 = 137, x2 = 118, y2 = 126, x3 = 2, y3 = 184, perimeter = 324.525, color = LIGHT_BLUE
532: Triangle, x1 = 97, y1 = 66, x2 = 28, y2 = 122, x3 = 174, y3 = 66, perimeter = 322.236, color = VIOLET
533: Triangle, x1 = 94, y1 = 165, x2 = 58, y2 = 189, x3 = 132, y3 = 50, perimeter = 321.853, color = YELLOW
534: Triangle, x1 = 188, y1 = 88, x2 = 33, y2 = 93, x3 = 104, y3 = 61, perimeter = 321.191, color = GREEN
535: Triangle, x1 = 42, y1 = 111, x2 = 170, y2 = 22, x3 = 175, y3 = 22, perimeter = 320.932, color = YELLOW
536: Circle, x = 51, y = 99, radius = 51, perimeter = 320.28, color = RED
537: Circle, x = 24, y = 79, radius = 51, perimeter = 320.28, color = GREEN
538: Rectangle, x_up_left = 102, y_up_left = 110, x_down_right = 190, y_down_right = 38, perimeter = 320, color = ORANGE
539: Rectangle, x_up_left = 107, y_up_left = 144, x_down_right = 199, y_down_right = 76, perimeter = 320, color = BLUE
540: Triangle, x1 = 189, y1 = 120, x2 = 200, y2 = 11, x3 = 119, y3 = 125, perimeter = 319.578, color = YELLOW
541: Triangle, x1 = 116, y1 = 44, x2 = 99, y2 = 191, x3 = 69, y3 = 171, perimeter = 319.453, color = YELLOW
542: Triangle, x1 = 29, y1 = 123, x2 = 183, y2 = 164, x3 = 160, y3 = 162, perimeter = 319.133, color = VIOLET
543: Triangle, x1 = 84, y1 = 27, x2 = 162, y2 = 107, x3 = 140, y3 = 163, perimeter = 318.976, color = RED
544: Rectangle, x_up_left = 98, y_up_left = 125, x_down_right = 160, y_down_right = 28, perimeter = 318, color = ORANGE
545: Rectangle, x_up_left = 2, y_up_left = 141, x_down_right = 72, y_down_right = 52, perimeter = 318, color = BLUE
546: Rectangle, x_up_left = 92, y_up_left = 176, x_down_right = 162, y_down_right = 87, perimeter = 318, color = ORANGE
547: Triangle, x1 = 17, y1 = 118, x2 = 134, y2 = 24, x3 = 137, y3 = 57, perimeter = 317.834, color = LIGHT_BLUE
548: Triangle, x1 = 103, y1 = 200, x2 = 114, y2 = 87, x3 = 25, y3 = 128, perimeter = 317.675, color = YELLOW
549: Triangle, x1 = 99, y1 = 105, x2 = 178, y2 = 14, x3 = 147, y3 = 145, perimeter = 317.607, color = ORANGE
550: Triangle, x1 = 170, y1 = 66, x2 = 48, y2 = 48, x3 = 192, y3 = 24, perimeter = 316.72, color = ORANGE
551: Triangle, x1 = 162, y1 = 89, x2 = 86, y2 = 96, x3 = 9, y3 = 126, perimeter = 316.37, color = VIOLET
552: Rectangle, x_up_left = 66, y_up_left = 113, x_down_right = 150, y_down_right = 39, perimeter = 316, color = VIOLET
553: Triangle, x1 = 176, y1 = 41, x2 = 85, y2 = 126, x3 = 50, y3 = 78, perimeter = 315.249, color = VIOLET
554: Triangle, x1 = 69, y1 = 197, x2 = 1, y2 = 157, x3 = 114, y3 = 98, perimeter = 315.115, color = YELLOW
555: Rectangle, x_up_left = 54, y_up_left = 92, x_down_right = 125, y_down_right = 6, perimeter = 314, color = VIOLET
556: Rectangle, x_up_left = 3, y_up_left = 24, x_down_right = 159, y_down_right = 23, perimeter = 314, color = RED
557: Circle, x = 26, y = 144, radius = 50, perimeter = 314, color = VIOLET
558: Triangle, x1 = 157, y1 = 32, x2 = 18, y2 = 91, x3 = 135, y3 = 20, perimeter = 312.921, color = VIOLET
559: Triangle, x1 = 118, y1 = 35, x2 = 18, y2 = 142, x3 = 71, y3 = 36, perimeter = 311.977, color = VIOLET
560: Triangle, x1 = 11, y1 = 93, x2 = 143, y2 = 11, x3 = 92, y3 = 51, perimeter = 311.453, color = BLUE
561: Triangle, x1 = 94, y1 = 77, x2 = 50, y2 = 12, x3 = 100, y3 = 156, perimeter = 310.153, color = LIGHT_BLUE
562: Rectangle, x_up_left = 103, y_up_left = 155, x_down_right = 111, y_down_right = 8, perimeter = 310, color = YELLOW
563: Rectangle, x_up_left = 6, y_up_left = 126, x_down_right = 73, y_down_right = 38, perimeter = 310, color = VIOLET
564: Triangle, x1 = 191, y1 = 86, x2 = 71, y2 = 32, x3 = 127, y3 = 121, perimeter = 309.688, color = YELLOW
565: Triangle, x1 = 29, y1 = 40, x2 = 37, y2 = 6, x3 = 155, y3 = 83, perimeter = 308.964, color = ORANGE
566: Triangle, x1 = 74, y1 = 113, x2 = 197, y2 = 93, x3 = 108, y3 = 40, perimeter = 308.731, color = BLUE
567: Triangle, x1 = 200, y1 = 42, x2 = 75, y2 = 89, x3 = 125, y3 = 10, perimeter = 308.579, color = RED
568: Triangle, x1 = 158, y1 = 20, x2 = 11, y2 = 55, x3 = 28, y3 = 35, perimeter = 308.221, color = LIGHT_BLUE
569: Triangle, x1 = 200, y1 = 41, x2 = 143, y2 = 151, x3 = 103, y3 = 84, perimeter = 308.027, color = RED
570: Rectangle, x_up_left = 60, y_up_left = 188, x_down_right = 79, y_down_right = 53, perimeter = 308, color = VIOLET
571: Circle, x = 64, y = 120, radius = 49, perimeter = 307.72, color = YELLOW
572: Triangle, x1 = 44, y1 = 75, x2 = 22, y2 = 116, x3 = 139, y3 = 20, perimeter = 307.646, color = GREEN
573: Triangle, x1 = 52, y1 = 56, x2 = 115, y2 = 177, x3 = 26, y3 = 64, perimeter = 307.462, color = LIGHT_BLUE
574: Triangle, x1 = 105, y1 = 89, x2 = 174, y2 = 76, x3 = 159, y3 = 194, perimeter = 307.236, color = LIGHT_BLUE
575: Triangle, x1 = 14, y1 = 68, x2 = 117, y2 = 56, x3 = 154, y3 = 18, perimeter = 305.395, color = GREEN
576: Triangle, x1 = 185, y1 = 157, x2 = 46, y2 = 94, x3 = 142, y3 = 138, perimeter = 305.224, color = RED
577: Triangle, x1 = 132, y1 = 187, x2 = 61, y2 = 63, x3 = 49, y3 = 112, perimeter = 305.202, color = YELLOW
578: Triangle, x1 = 33, y1 = 96, x2 = 81, y2 = 104, x3 = 162, y3 = 172, perimeter = 304.144, color = BLUE
579: Rectangle, x_up_left = 18, y_up_left = 200, x_down_right = 59, y_down_right = 89, perimeter = 304, color = ORANGE
580: Rectangle, x_up_left = 32, y_up_left = 186, x_down_right = 57, y_down_right = 59, perimeter = 304, color = ORANGE
581: Triangle, x1 = 123, y1 = 85, x2 = 7, y2 = 55, x3 = 80, y3 = 3, perimeter = 302.034, color = GREEN
582: Rectangle, x_up_left = 45, y_up_left = 186, x_down_right = 142, y_down_right = 132, perimeter = 302, color = LIGHT_BLUE
583: Rectangle, x_up_left = 9, y_up_left = 50, x_down_right = 148, y_down_right = 38, perimeter = 302, color = YELLOW
584: Circle, x = 37, y = 165, radius = 48, perimeter = 301.44, color = ORANGE
585: Triangle, x1 = 120, y1 = 187, x2 = 87, y2 = 54, x3 = 116, y3 = 52, perimeter = 301.161, color = VIOLET
586: Triangle, x1 = 156, y1 = 40, x2 = 88, y2 = 145, x3 = 191, y3 = 52, perimeter = 300.869, color = RED
587: Triangle, x1 = 80, y1 = 91, x2 = 189, y2 = 188, x3 = 163, y3 = 134, perimeter = 299.321, color = YELLOW
588: Triangle, x1 = 72, y1 = 153, x2 = 146, y2 = 40, x3 = 50, y3 = 137, perimeter = 298.75, color = ORANGE
589: Rectangle, x_up_left = 47, y_up_left = 154, x_down_right = 160, y_down_right = 118, perimeter = 298, color = RED
590: Rectangle, x_up_left = 156, y_up_left = 149, x_down_right = 171, y_down_right = 15, perimeter = 298, color = LIGHT_BLUE
591: Rectangle, x_up_left = 53, y_up_left = 162, x_down_right = 103, y_down_right = 63, perimeter = 298, color = YELLOW
592: Rectangle, x_up_left = 35, y_up_left = 48, x_down_right = 171, y_down_right = 35, perimeter = 298, color = LIGHT_BLUE
593: Rectangle, x_up_left = 28, y_up_left = 191, x_down_right = 133, y_down_right = 147, perimeter = 298, color = YELLOW
594: Triangle, x1 = 131, y1 = 68, x2 = 82, y2 = 141, x3 = 162, y3 = 183, perimeter = 297.38, color = LIGHT_BLUE
595: Rectangle, x_up_left = 142, y_up_left = 181, x_down_right = 185, y_down_right = 76, perimeter = 296, color = VIOLET
596: Rectangle, x_up_left = 44, y_up_left = 72, x_down_right = 165, y_down_right = 45, perimeter = 296, color = RED
597: Triangle, x1 = 159, y1 = 107, x2 = 84, y2 = 21, x3 = 151, y3 = 146, perimeter = 295.745, color = VIOLET
598: Triangle, x1 = 10, y1 = 124, x2 = 28, y2 = 82, x3 = 123, y3 = 35, perimeter = 295.525, color = VIOLET
599: Triangle, x1 = 15, y1 = 38, x2 = 146, y2 = 74, x3 = 37, y3 = 83, perimeter = 295.317, color = BLUE
600: Circle, x = 92, y = 52, radius = 47, perimeter = 295.16, color = LIGHT_BLUE
601: Triangle, x1 = 30, y1 = 19, x2 = 146, y2 = 2, x3 = 132, y3 = 66, perimeter = 295.06, color = ORANGE
602: Triangle, x1 = 154, y1 = 65, x2 = 85, y2 = 106, x3 = 24, y3 = 49, perimeter = 294.73, color = LIGHT_BLUE
603: Triangle, x1 = 195, y1 = 21, x2 = 106, y2 = 97, x3 = 77, y3 = 107, perimeter = 293.724, color = YELLOW
604: Triangle, x1 = 24, y1 = 131, x2 = 35, y2 = 46, x3 = 100, y3 = 19, perimeter = 291.445, color = BLUE
605: Triangle, x1 = 134, y1 = 176, x2 = 57, y2 = 84, x3 = 156, y3 = 111, perimeter = 291.209, color = LIGHT_BLUE
606: Triangle, x1 = 108, y1 = 53, x2 = 77, y2 = 81, x3 = 121, y3 = 187, perimeter = 291.172, color = BLUE
607: Triangle, x1 = 165, y1 = 33, x2 = 198, y2 = 51, x3 = 71, y3 = 101, perimeter = 290.095, color = BLUE
608: Rectangle, x_up_left = 63, y_up_left = 99, x_down_right = 134, y_down_right = 25, perimeter = 290, color = VIOLET
609: Rectangle, x_up_left = 103, y_up_left = 160, x_down_right = 199, y_down_right = 111, perimeter = 290, color = LIGHT_BLUE
610: Triangle, x1 = 132, y1 = 61, x2 = 53, y2 = 167, x3 = 101, y3 = 52, perimeter = 289.096, color = ORANGE
611: Circle, x = 76, y = 137, radius = 46, perimeter = 288.88, color = LIGHT_BLUE
612: Circle, x = 163, y = 14, radius = 46, perimeter = 288.88, color = VIOLET
613: Circle, x = 108, y = 91, radius = 46, perimeter = 288.88, color = VIOLET
614: Triangle, x1 = 56, y1 = 36, x2 = 189, y2 = 68, x3 = 77, y3 = 17, perimeter = 288.18, color = GREEN
615: Rectangle, x_up_left = 82, y_up_left = 135, x_down_right = 110, y_down_right = 19, perimeter = 288, color = GREEN
616: Triangle, x1 = 126, y1 = 122, x2 = 1, y2 = 84, x3 = 55, y3 = 57, perimeter = 287.282, color = VIOLET
617: Triangle, x1 = 175, y1 = 89, x2 = 142, y2 = 120, x3 = 53, y3 = 163, perimeter = 286.809, color = VIOLET
618: Rectangle, x_up_left = 90, y_up_left = 188, x_down_right = 97, y_down_right = 52, perimeter = 286, color = GREEN
619: Triangle, x1 = 124, y1 = 93, x2 = 152, y2 = 168, x3 = 62, y3 = 188, perimeter = 285.693, color = YELLOW
620: Triangle, x1 = 121, y1 = 85, x2 = 194, y2 = 159, x3 = 75, y3 = 113, perimeter = 285.38, color = BLUE
621: Rectangle, x_up_left = 58, y_up_left = 64, x_down_right = 172, y_down_right = 36, perimeter = 284, color = GREEN
622: Rectangle, x_up_left = 99, y_up_left = 183, x_down_right = 132, y_down_right = 74, perimeter = 284, color = GREEN
623: Circle, x = 1, y = 63, radius = 45, perimeter = 282.6, color = YELLOW
624: Triangle, x1 = 191, y1 = 115, x2 = 59, y2 = 65, x3 = 91, y3 = 76, perimeter = 282.326, color = GREEN
625: Triangle, x1 = 155, y1 = 61, x2 = 123, y2 = 169, x3 = 154, y3 = 192, perimeter = 282.245, color = RED
626: Rectangle, x_up_left = 23, y_up_left = 132, x_down_right = 74, y_down_right = 42, perimeter = 282, color = ORANGE
627: Triangle, x1 = 103, y1 = 129, x2 = 147, y2 = 32, x3 = 197, y3 = 54, perimeter = 281.393, color = VIOLET
628: Triangle, x1 = 83, y1 = 187, x2 = 37, y2 = 65, x3 = 28, y3 = 59, perimeter = 280.517, color = GREEN
629: Triangle, x1 = 200, y1 = 68, x2 = 92, y2 = 52, x3 = 170, y3 = 125, perimeter = 280.423, color = LIGHT_BLUE
630: Rectangle, x_up_left = 95, y_up_left = 140, x_down_right = 106, y_down_right = 11, perimeter = 280, color = YELLOW
631: Rectangle, x_up_left = 45, y_up_left = 155, x_down_right = 89, y_down_right = 59, perimeter = 280, color = LIGHT_BLUE
632: Triangle, x1 = 153, y1 = 28, x2 = 166, y2 = 115, x3 = 75, y3 = 83, perimeter = 279.869, color = BLUE
633: Triangle, x1 = 101, y1 = 83, x2 = 47, y2 = 77, x3 = 167, y3 = 141, perimeter = 278.196, color = VIOLET
634: Rectangle, x_up_left = 79, y_up_left = 136, x_down_right = 182, y_down_right = 100, perimeter = 278, color = YELLOW
635: Rectangle, x_up_left = 119, y_up_left = 162, x_down_right = 192, y_down_right = 96, perimeter = 278, color = LIGHT_BLUE
636: Rectangle, x_up_left = 114, y_up_left = 164, x_down_right = 196, y_down_right = 107, perimeter = 278, color = VIOLET
637: Rectangle, x_up_left = 74, y_up_left = 71, x_down_right = 167, y_down_right = 25, perimeter = 278, color = BLUE
638: Rectangle, x_up_left = 17, y_up_left = 120, x_down_right = 121, y_down_right = 85, perimeter = 278, color = BLUE
639: Rectangle, x_up_left = 28, y_up_left = 78, x_down_right = 143, y_down_right = 54, perimeter = 278, color = RED
640: Triangle, x1 = 50, y1 = 186, x2 = 20, y2 = 58, x3 = 1, y3 = 78, perimeter = 277.651, color = LIGHT_BLUE
641: Circle, x = 56, y = 22, radius = 44, perimeter = 276.32, color = ORANGE
642: Circle, x = 74, y = 181, radius = 44, perimeter = 276.32, color = YELLOW
643: Circle, x = 156, y = 32, radius = 44, perimeter = 276.32, color = VIOLET
644: Triangle, x1 = 126, y1 = 161, x2 = 165, y2 = 151, x3 = 137, y3 = 40, perimeter = 276.238, color = VIOLET
645: Triangle, x1 = 7, y1 = 57, x2 = 93, y2 = 91, x3 = 62, y3 = 155, perimeter = 275.968, color = GREEN
646: Triangle, x1 = 27, y1 = 148, x2 = 54, y2 = 107, x3 = 13, y3 = 19, perimeter = 275.932, color = ORANGE
647: Triangle, x1 = 156, y1 = 69, x2 = 115, y2 = 155, x3 = 59, y3 = 143, perimeter = 274.549, color = YELLOW
648: Triangle, x1 = 83, y1 = 62, x2 = 65, y2 = 11, x3 = 130, y3 = 131, perimeter = 274.043, color = BLUE
649: Rectangle, x_up_left = 81, y_up_left = 81, x_down_right = 165, y_down_right = 28, perimeter = 274, color = ORANGE
650: Rectangle, x_up_left = 80, y_up_left = 191, x_down_right = 152, y_down_right = 126, perimeter = 274, color = ORANGE
651: Rectangle, x_up_left = 29, y_up_left = 144, x_down_right = 108, y_down_right = 86, perimeter = 274, color = GREEN
652: Rectangle, x_up_left = 126, y_up_left = 128, x_down_right = 161, y_down_right = 26, perimeter = 274, color = YELLOW
653: Triangle, x1 = 24, y1 = 192, x2 = 12, y2 = 192, x3 = 107, y3 = 96, perimeter = 273.965, color = GREEN
654: Triangle, x1 = 57, y1 = 118, x2 = 87, y2 = 174, x3 = 105, y3 = 49, perimeter = 273.872, color = RED
655: Triangle, x1 = 159, y1 = 54, x2 = 119, y2 = 113, x3 = 108, y3 = 179, perimeter = 273.195, color = ORANGE
656: Triangle, x1 = 89, y1 = 86, x2 = 75, y2 = 67, x3 = 11, y3 = 178, perimeter = 272.345, color = GREEN
657: Rectangle, x_up_left = 132, y_up_left = 137, x_down_right = 177, y_down_right = 46, perimeter = 272, color = YELLOW
658: Rectangle, x_up_left = 43, y_up_left = 161, x_down_right = 178, y_down_right = 160, perimeter = 272, color = RED
659: Rectangle, x_up_left = 39, y_up_left = 130, x_down_right = 81, y_down_right = 36, perimeter = 272, color = YELLOW
660: Triangle, x1 = 40, y1 = 49, x2 = 104, y2 = 156, x3 = 39, y3 = 122, perimeter = 271.042, color = LIGHT_BLUE
661: Triangle, x1 = 1, y1 = 128, x2 = 133, y2 = 156, x3 = 103, y3 = 146, perimeter = 270.136, color = YELLOW
662: Circle, x = 187, y = 36, radius = 43, perimeter = 270.04, color = RED
663: Circle, x = 184, y = 96, radius = 43, perimeter = 270.04, color = VIOLET
664: Rectangle, x_up_left = 46, y_up_left = 118, x_down_right = 116, y_down_right = 53, perimeter = 270, color = BLUE
665: Rectangle, x_up_left = 113, y_up_left = 151, x_down_right = 158, y_down_right = 61, perimeter = 270, color = RED
666: Triangle, x1 = 109, y1 = 172, x2 = 112, y2 = 113, x3 = 10, y3 = 134, perimeter = 269.258, color = ORANGE
667: Triangle, x1 = 191, y1 = 51, x2 = 100, y2 = 19, x3 = 140, y3 = 107, perimeter = 268.87, color = RED
668: Triangle, x1 = 16, y1 = 68, x2 = 26, y2 = 88, x3 = 142, y3 = 98, perimeter = 268.313, color = ORANGE
669: Rectangle, x_up_left = 39, y_up_left = 166, x_down_right = 107, y_down_right = 100, perimeter = 268, color = ORANGE
670: Triangle, x1 = 125, y1 = 84, x2 = 20, y2 = 163, x3 = 71, y3 = 102, perimeter = 267.832, color = ORANGE
671: Triangle, x1 = 52, y1 = 109, x2 = 132, y2 = 90, x3 = 52, y3 = 26, perimeter = 267.675, color = LIGHT_BLUE
672: Rectangle, x_up_left = 23, y_up_left = 185, x_down_right = 56, y_down_right = 85, perimeter = 266, color = RED
673: Triangle, x1 = 180, y1 = 23, x2 = 113, y2 = 118, x3 = 111, y3 = 40, perimeter = 265.339, color = LIGHT_BLUE
674: Triangle, x1 = 105, y1 = 82, x2 = 116, y2 = 139, x3 = 22, y3 = 156, perimeter = 264.775, color = LIGHT_BLUE
675: Triangle, x1 = 95, y1 = 64, x2 = 43, y2 = 182, x3 = 66, y3 = 85, perimeter = 264.444, color = LIGHT_BLUE
676: Rectangle, x_up_left = 83, y_up_left = 180, x_down_right = 186, y_down_right = 151, perimeter = 264, color = LIGHT_BLUE
677: Triangle, x1 = 126, y1 = 116, x2 = 36, y2 = 200, x3 = 113, y3 = 104, perimeter = 263.867, color = YELLOW
678: Circle, x = 165, y = 166, radius = 42, perimeter = 263.76, color = VIOLET
679: Circle, x = 86, y = 78, radius = 42, perimeter = 263.76, color = ORANGE
680: Triangle, x1 = 87, y1 = 21, x2 = 116, y2 = 96, x3 = 28, y3 = 10, perimeter = 263.473, color = BLUE
681: Triangle, x1 = 92, y1 = 90, x2 = 85, y2 = 174, x3 = 131, y3 = 56, perimeter = 262.68, color = LIGHT_BLUE
682: Rectangle, x_up_left = 79, y_up_left = 106, x_down_right = 111, y_down_right = 7, perimeter = 262, color = YELLOW
683: Rectangle, x_up_left = 81, y_up_left = 200, x_down_right = 157, y_down_right = 145, perimeter = 262, color = BLUE
684: Triangle, x1 = 137, y1 = 84, x2 = 184, y2 = 199, x3 = 151, y3 = 184, perimeter = 261.458, color = GREEN
685: Rectangle, x_up_left = 25, y_up_left = 65, x_down_right = 104, y_down_right = 14, perimeter = 260, color = BLUE
686: Rectangle, x_up_left = 76, y_up_left = 170, x_down_right = 151, y_down_right = 115, perimeter = 260, color = GREEN
687: Triangle, x1 = 10, y1 = 81, x2 = 15, y2 = 138, x3 = 107, y3 = 132, perimeter = 259.004, color = VIOLET
688: Triangle, x1 = 145, y1 = 84, x2 = 47, y2 = 81, x3 = 17, y3 = 93, perimeter = 258.673, color = RED
689: Triangle, x1 = 129, y1 = 186, x2 = 37, y2 = 188, x3 = 160, y3 = 160, perimeter = 258.628, color = LIGHT_BLUE
690: Triangle, x1 = 68, y1 = 30, x2 = 174, y2 = 98, x3 = 98, y3 = 72, perimeter = 257.875, color = VIOLET
691: Circle, x = 67, y = 114, radius = 41, perimeter = 257.48, color = LIGHT_BLUE
692: Circle, x = 35, y = 195, radius = 41, perimeter = 257.48, color = LIGHT_BLUE
693: Circle, x = 60, y = 10, radius = 41, perimeter = 257.48, color = LIGHT_BLUE
694: Circle, x = 194, y = 131, radius = 41, perimeter = 257.48, color = ORANGE
695: Triangle, x1 = 99, y1 = 101, x2 = 108, y2 = 66, x3 = 4, y3 = 129, perimeter = 256.773, color = YELLOW
696: Triangle, x1 = 199, y1 = 28, x2 = 76, y2 = 45, x3 = 151, y3 = 12, perimeter = 256.705, color = ORANGE
697: Rectangle, x_up_left = 124, y_up_left = 193, x_down_right = 148, y_down_right = 89, perimeter = 256, color = ORANGE
698: Rectangle, x_up_left = 15, y_up_left = 196, x_down_right = 87, y_down_right = 140, perimeter = 256, color = ORANGE
699: Rectangle, x_up_left = 27, y_up_left = 106, x_down_right = 134, y_down_right = 85, perimeter = 256, color = ORANGE
700: Rectangle, x_up_left = 82, y_up_left = 82, x_down_right = 132, y_down_right = 4, perimeter = 256, color = GREEN
701: Triangle, x1 = 149, y1 = 165, x2 = 83, y2 = 103, x3 = 76, y3 = 190, perimeter = 254.997, color = RED
702: Rectangle, x_up_left = 31, y_up_left = 120, x_down_right = 103, y_down_right = 65, perimeter = 254, color = VIOLET
703: Rectangle, x_up_left = 81, y_up_left = 108, x_down_right = 160, y_down_right = 60, perimeter = 254, color = LIGHT_BLUE
704: Triangle, x1 = 124, y1 = 42, x2 = 90, y2 = 106, x3 = 186, y3 = 38, perimeter = 252.243, color = BLUE
705: Rectangle, x_up_left = 66, y_up_left = 31, x_down_right = 174, y_down_right = 13, perimeter = 252, color = RED
706: Rectangle, x_up_left = 96, y_up_left = 144, x_down_right = 165, y_down_right = 87, perimeter = 252, color = LIGHT_BLUE
707: Circle, x = 136, y = 3, radius = 40, perimeter = 251.2, color = YELLOW
708: Triangle, x1 = 3, y1 = 101, x2 = 97, y2 = 177, x3 = 86, y3 = 141, perimeter = 250.659, color = RED
709: Triangle, x1 = 155, y1 = 17, x2 = 132, y2 = 137, x3 = 164, y3 = 73, perimeter = 250.457, color = BLUE
710: Rectangle, x_up_left = 36, y_up_left = 195, x_down_right = 97, y_down_right = 131, perimeter = 250, color = ORANGE
711: Triangle, x1 = 39, y1 = 186, x2 = 117, y2 = 89, x3 = 92, y3 = 109, perimeter = 249.964, color = RED
712: Rectangle, x_up_left = 43, y_up_left = 24, x_down_right = 165, y_down_right = 22, perimeter = 248, color = BLUE
713: Triangle, x1 = 19, y1 = 187, x2 = 20, y2 = 159, x3 = 128, y3 = 173, perimeter = 246.817, color = RED
714: Triangle, x1 = 197, y1 = 138, x2 = 145, y2 = 50, x3 = 130, y3 = 124, perimeter = 246.167, color = ORANGE
715: Rectangle, x_up_left = 113, y_up_left = 115, x_down_right = 192, y_down_right = 71, perimeter = 246, color = VIOLET
716: Rectangle, x_up_left = 57, y_up_left = 90, x_down_right = 156, y_down_right = 66, perimeter = 246, color = LIGHT_BLUE
717: Triangle, x1 = 46, y1 = 102, x2 = 105, y2 = 108, x3 = 159, y3 = 67, perimeter = 245.402, color = GREEN
718: Triangle, x1 = 35, y1 = 118, x2 = 104, y2 = 122, x3 = 94, y3 = 198, perimeter = 245.174, color = LIGHT_BLUE
719: Circle, x = 99, y = 107, radius = 39, perimeter = 244.92, color = VIOLET
720: Rectangle, x_up_left = 122, y_up_left = 196, x_down_right = 166, y_down_right = 118, perimeter = 244, color = VIOLET
721: Rectangle, x_up_left = 43, y_up_left = 46, x_down_right = 151, y_down_right = 32, perimeter = 244, color = RED
722: Triangle, x1 = 32, y1 = 114, x2 = 6, y2 = 74, x3 = 115, y3 = 96, perimeter = 243.835, color = VIOLET
723: Triangle, x1 = 133, y1 = 135, x2 = 35, y2 = 102, x3 = 91, y3 = 167, perimeter = 242.005, color = GREEN
724: Rectangle, x_up_left = 147, y_up_left = 175, x_down_right = 160, y_down_right = 67, perimeter = 242, color = VIOLET
725: Rectangle, x_up_left = 106, y_up_left = 167, x_down_right = 197, y_down_right = 137, perimeter = 242, color = BLUE
726: Rectangle, x_up_left = 68, y_up_left = 177, x_down_right = 163, y_down_right = 152, perimeter = 240, color = BLUE
727: Triangle, x1 = 38, y1 = 145, x2 = 42, y2 = 56, x3 = 94, y3 = 132, perimeter = 238.666, color = RED
728: Circle, x = 43, y = 72, radius = 38, perimeter = 238.64, color = ORANGE
729: Circle, x = 163, y = 92, radius = 38, perimeter = 238.64, color = RED
730: Circle, x = 155, y = 79, radius = 38, perimeter = 238.64, color = BLUE
731: Circle, x = 161, y = 50, radius = 38, perimeter = 238.64, color = LIGHT_BLUE
732: Rectangle, x_up_left = 79, y_up_left = 57, x_down_right = 157, y_down_right = 16, perimeter = 238, color = YELLOW
733: Rectangle, x_up_left = 44, y_up_left = 73, x_down_right = 123, y_down_right = 33, perimeter = 238, color = ORANGE
734: Triangle, x1 = 66, y1 = 149, x2 = 127, y2 = 124, x3 = 26, y3 = 96, perimeter = 237.134, color = BLUE
735: Triangle, x1 = 104, y1 = 126, x2 = 157, y2 = 33, x3 = 111, y3 = 44, perimeter = 236.637, color = RED
736: Rectangle, x_up_left = 15, y_up_left = 178, x_down_right = 30, y_down_right = 75, perimeter = 236, color = LIGHT_BLUE
737: Rectangle, x_up_left = 68, y_up_left = 81, x_down_right = 120, y_down_right = 15, perimeter = 236, color = ORANGE
738: Rectangle, x_up_left = 18, y_up_left = 159, x_down_right = 33, y_down_right = 56, perimeter = 236, color = GREEN
739: Triangle, x1 = 141, y1 = 75, x2 = 119, y2 = 81, x3 = 52, y3 = 6, perimeter = 235.986, color = ORANGE
740: Triangle, x1 = 160, y1 = 174, x2 = 182, y2 = 104, x3 = 98, y3 = 141, perimeter = 235.399, color = LIGHT_BLUE
741: Triangle, x1 = 24, y1 = 74, x2 = 133, y2 = 36, x3 = 38, y3 = 56, perimeter = 235.32, color = VIOLET
742: Triangle, x1 = 108, y1 = 140, x2 = 53, y2 = 44, x3 = 94, y3 = 62, perimeter = 234.663, color = RED
743: Rectangle, x_up_left = 74, y_up_left = 196, x_down_right = 149, y_down_right = 154, perimeter = 234, color = YELLOW
744: Rectangle, x_up_left = 78, y_up_left = 83, x_down_right = 188, y_down_right = 76, perimeter = 234, color = RED
745: Rectangle, x_up_left = 54, y_up_left = 152, x_down_right = 88, y_down_right = 69, perimeter = 234, color = LIGHT_BLUE
746: Rectangle, x_up_left = 178, y_up_left = 199, x_down_right = 199, y_down_right = 103, perimeter = 234, color = LIGHT_BLUE
747: Triangle, x1 = 93, y1 = 93, x2 = 137, y2 = 82, x3 = 198, y3 = 44, perimeter = 233.093, color = ORANGE
748: Circle, x = 146, y = 101, radius = 37, perimeter = 232.36, color = VIOLET
749: Circle, x = 191, y = 124, radius = 37, perimeter = 232.36, color = GREEN
750: Rectangle, x_up_left = 74, y_up_left = 155, x_down_right = 189, y_down_right = 154, perimeter = 232, color = GREEN
